File_Error,Corrected
PuRilA,Purila
asomoM,Rasamo
PULAORA,Pulaora
Rotim,Rotima
Bandegaij,Bandegai
cHOleka,Choleka
POORIGA,Puriga
dosara,Dosara
KESARIKA,Kesarika
Pulaon,Pulao
auuobaa,Rava
Roganon,Rogano
Curdia,Curdi
Curdnaa,Curdna
Pario,Puri
PakOdau,Pakoda
Vaiaa,Pav
Pakodaea,Pakoda
Kachorik,Kachori
Dal,Dal
HALWA,Halwa
Bandegaisan,Bandegaisa
chapathima,chapathima
RASAMO,Rasamo
KHEERLA,KHEERLA
samosao,Samosa
Lassi,Lassi
Rasamkaa,Rasamka
Koftay,Koftaya
Samosaran,Samosara
Lassir,Lassi
dOsAlA,Dosala
chutneyo,Chutneyo
Upma,Upma
amreehK,amreehK
Poorigan,Puriga
sambarji,Sambarji
Muddas,Mudda
oihtapahC,oihtapahC
Biryanig,Biryaniga
tamarindla,Tamarindla
Roganam,Roganma
PARATHARA,Parathara
BirYANIO,Biryani
Khicaiiia,Khicaiiia
iuiiateiea,iuiiateiea
agirooP,Ragira
Paneeren,Paneeren
PaV,Pav
DhoklAyA,Dhoklaya
kesariga,Kesariga
Bhajin,Bhaji
pattaguyrara,Pattaguyrara
Poorii,Puri
Hauwoua,Pavo
Bandegais,Bandegai
ayijahB,ayijahB
Puris,Purisa
chutneyla,Chutneyla
MASALARA,Masalara
PAneeRi,PAneeRi
Pavgaa,Pavga
upmaka,Upmaka
Kesari,Kesari
ijreenaP,ijreenaP
purima,Purima
BISIBELESA,Bisibelesa
Ratiji,Rotiji
Roti,Roti
adduM,Aamu
roganU,Roganu
alissaL,Idlisa
aizbaS,aizbaS
oelebisiB,oelebisiB
Guiaira,Curda
Ramon,Ramo
RAM,Ram
Ravan,Ravana
GULABA,Gulaba
alasayaP,Payasaya
biryaniga,Biryaniga
jALebIa,Jalebi
sAMbarla,Sambarla
parathasa,Parathasa
Vuouaa,Pav
Vadag,Vadaga
Kaotaka,Raitaka
KACHORII,Kachori
pesarattula,Pesarattula
aamga,Aamga
Ragigam,Ragiga
Raiauia,Ram
BIRYANIGA,Biryaniga
asadokaP,asadokaP
alvaP,Ravao
sambarka,Sambarka
Curdgam,Curdga
RoTIMa,Rotima
uavaR,Rava
cHAPAThIo,cHAPAThIo
biryanina,Biryanina
rAVaNA,Ravana
amnagoR,amnagoR
Ramkaa,Ramka
Raitar,Raita
SABZIKA,Sabzika
Halwanan,Halwana
chutneya,Chutneya
Jalebiim,Jalebima
iesorautusi,iesorautusi
jAlEbia,Jalebi
Upmanan,Upmana
oeeae,oeeae
Idlir,Idlira
ROGANU,Roganu
Bisibeleem,Bisibelei
Pulaoran,Pulaora
Saiuaee,Dal
eijahB,eijahB
BhATUrEgA,Bhaturega
dhOKLao,Dhokla
KOFtAa,Kofta
oheuaeyu,Joshu
Aaaji,Rami
dosana,Dosana
eaoaaiuue,eaoaaiuue
Aamlam,Ramla
asirohcaK,asirohcaK
bhAjigA,Bhajiga
Paneery,Paneery
ilaD,Vada
vadana,Vadana
amreehK,amreehK
Rasam,Rasam
gulabga,Gulabga
alhsoJ,alhsoJ
RoTia,Roti
anitoR,Raitao
akvaP,Ravao
Sambark,Sambarka
PANEERI,PANEERI
KACHORILA,Kachorila
Pesarattunam,Pesarattuna
ROGANSA,Rogansa
rogan,Rogan
RASAMRA,Rasamra
Pavon,Pavo
Paratha,Paratha
agyentuhC,agyentuhC
eerutahB,eerutahB
uasayaP,Dosaya
JOSHGA,Joshga
amadduM,amadduM
Dalm,Dalma
PAKodAMa,Pakodama
JoShNA,Joshna
ehikeao,ehikeao
kHIchdiI,Kichdi
KHICHDIE,Kichdi
euiayogarei,euiayogarei
CURDYA,Curdya
agadduM,agadduM
KESARILA,Kesarila
DHOKLAGA,Dhoklaga
GulAbI,Gulabi
Sabzik,Dosaji
einayriB,einayriB
aigaR,Rava
irooP,irooP
paVji,Pavji
uPmAE,Upma
Khichdinan,Kichdina
Samosasam,Samosasa
Sabzien,Dosaji
Curdem,Curde
Joshn,Josh
DOsARa,Dosara
iaoirindla,iaoirindla
aimoaa,Aamo
PATTAGUYRAA,Pattaguyra
bhajiga,Bhajiga
eiraseK,eiraseK
oavaR,Pava
agawlaH,agawlaH
Purilan,Purila
uoriya,Puriya
mUdDaga,Muddaga
Pakoda,Pakoda
KIChdIma,Kichdima
momoga,Momoga
aasoD,Aamo
oaseauo,Josh
ragiji,Ragiji
asitoR,Raitao
euoauii,euoauii
Rava,Rava
JoSHjI,Joshji
kheerji,kheerji
PaV,Pav
Koftan,Koftana
uauosale,Dale
Perie,Puri
THEPLAJI,Theplaji
raitA,Raita
aeuiree,Rami
SABZIE,Sabzi
Dooala,Dala
kHEERA,kHEERA
Ramoa,Ramo
THEPLAYA,Theplaya
Rasamjin,Rasamji
CURDya,Curdya
pakodau,Pakoda
RAiTAnA,Raitana
iiraseK,iiraseK
Dhoklaraa,Dhoklara
idlima,Idlima
uvaP,Rava
Kheerm,Kheerm
almaA,Aama
pAvlA,Pavla
agerutahB,agerutahB
DOSAE,Dosa
Koftak,Koftaka
uesaru,Dosau
aulaosa,Dalsa
aulwai,Halwa
Idli,Idli
kaCHORIya,Kachoriya
Samosanam,Samosana
SAMOSAU,Samosa
BHAJIRA,Bhajira
tamarindji,Tamarindji
tAMaRiNDjI,Tamarindji
Ravayam,Ravaya
eiahdoya,eiahdoya
Parothiaa,Parothiaa
Kheeaka,Kheeaka
alizbaS,alizbaS
iiuoe,iiuoe
amizbaS,amizbaS
Pavim,Pavi
Dhoioaea,Dhoioaea
Puutaioyreia,Puutaioyreia
Dalyan,Dalya
Pavsam,Pavsa
Masalajin,Masalaji
Chapathi,Chapathi
Kiuadiua,Idli
khichdie,Kichdi
Idlikaa,Idlika
Purijin,Puriji
Kheer,Kheer
KACHORINA,Kachorina
ammasaR,Aamsa
Vadas,Vadasa
iatiaR,Roti
Pavl,Pavla
Joshyam,Joshya
dhoklala,Dhoklala
aauaaea,aauaaea
Pikodeji,Pikodeji
DOSAJI,Dosaji
Bhajig,Bhaji
samBaRKa,Sambarka
masalai,Masala
Ragi,Ragi
CHAPAtHIYa,CHAPAtHIYa
Halwa,Halwa
Lassiu,Lassi
Vadaram,Vadara
Jisuua,Jisuua
ashsoJ,Aamo
uomaoo,Upma
uulabku,Gulabka
ioaoieiio,ioaoieiio
Subzea,Subzea
Halwajia,Halwaji
lassila,Lassila
ramga,Ramga
DHoKlaO,Dhokla
SAMOSA,Samosa
Kichdijin,Kichdiji
uachouila,Gulab
rasamra,Rasamra
asirooP,Lassiu
ireehK,ireehK
chapathii,chapathii
masalara,Masalara
kesario,Kesari
halwama,Halwama
Aamon,Ramo
iasuma,iasuma
Ravan,Ravana
Pav,Pav
ROGANU,Roganu
Kichdilan,Kichdila
oaeasaii,Dosa
paneerla,paneerla
PURILA,Purila
Pulaol,Pulao
saMosALa,Samosala
Rotik,Rotika
uiruP,Puriu
Bhaji,Bhaji
akasoD,Pakoda
Rasam,Rasam
PULIYOGAREMA,Puliyogarema
eadokaP,eadokaP
tAmaRinDa,Tamarinda
edniramaT,edniramaT
BanDEgaIa,Bandegai
RAGIYA,Ragiya
Poorimaa,Purima
Masala,Masala
raVAJi,Ravaji
Rotir,Rotira
iouebea,iouebea
khEERKA,khEERKA
IDLIRA,Idlira
Paneerk,Paneerk
Momoraa,Momora
eitoR,eitoR
GULABA,Gulaba
parathau,Paratha
Bhatureum,Bhature
Lassi,Lassi
RASAM,Rasam
upmaya,Upmaya
Chapathiaa,Chapathiaa
SABZIMA,Sabzima
odloaa,Idli
Ravaua,Rava
Idli,Idli
rogani,Rogani
masalana,Masalana
Peeu,Peeu
khichdima,Kichdima
Choleaa,Chole
chaPaTHina,chaPaTHina
Risioee,Puri
Halway,Halwaya
idli,Idli
Raiauna,Rama
saMosaO,Samosa
aeeiieaoui,aeeiieaoui
uirooP,Puriu
Curdon,Curdo
KHEeRSa,KHEeRSa
dale,Dale
oeaaiya,Dosa
Kichdir,Kichdi
Pav,Pav
puRina,Purina
Tamarindy,Tamarindya
Pesaratt,Kesaria
akitoR,Raitao
AAMRA,Aamra
Kioheeuu,Kioheeuu
MASALA,Masala
Rogan,Rogan
sabzisa,Sabzisa
Momiuu,Momo
amiraseK,amiraseK
Ragiia,Ragi
gulabma,Gulabma
POOrika,Purika
rasamga,Rasamga
Pakodamaa,Pakodama
Reganoi,Rogano
koFTASa,Koftasa
SaBZiu,Sabzi
sabzIO,Sabzi
iacuueoua,iacuueoua
Idli,Idli
Gulab,Gulab
Jalebi,Jalebi
PAYaSaNa,Payasana
ayibelaJ,ayibelaJ
Koftain,Koftana
AAME,Aame
chaPathiKa,chaPathiKa
Pooeoma,Upma
akmaR,Aamra
tamarindi,Tamarindi
PULAOGA,Pulaoga
ihieeenu,ihieeenu
Halwam,Halwama
PANEERI,PANEERI
ijmasaR,ijmasaR
Rogan,Rogan
Rammaa,Rama
keSaRia,Kesari
chapathiga,chapathiga
parathao,Paratha
Kesari,Kesari
oaeu,oaeu
UPMAGA,Upmaga
Sambarl,Sambarla
bHatUREra,Bhaturera
dhoklaya,Dhoklaya
POORIJI,Puriji
joshna,Joshna
RAiTAe,Raita
Lassi,Lassi
Halwayam,Halwaya
VAdagA,Vadaga
GulAbI,Gulabi
BiryanIJi,Biryaniji
roganra,Roganra
Upmagan,Upmaga
Rotik,Rotika
RAMI,Rami
BhAjiga,Bhajiga
Chepathiaa,Chepathiaa
KOFtaSA,Koftasa
lassila,Lassila
roganJI,Roganji
HALWASA,Halwasa
Koftanaa,Koftana
Purimam,Purima
Puliyogarekaa,Puliyogareka
Bhaji,Bhaji
Pattaguyraen,Pattaguyra
masalaji,Masalaji
Jalebiaa,Jalebi
chapathima,chapathima
Samba,Sambar
Kichdilaa,Kichdila
HALWAI,Halwa
Kheer,Kheer
Idlimaa,Idlima
SAMOSAE,Samosa
RASAMSA,Rasamsa
aumiarua,Aamra
ramu,Ramu
Raita,Raita
BIRYANIGA,Biryaniga
ragika,Ragika
Dalm,Dalma
Vadasan,Vadasa
edruC,edruC
Rasamy,Rasamya
Joshsaa,Josh
RAmkA,Ramka
Theplay,Thepla
Biryani,Biryani
PAYASAYA,Payasaya
amalpehT,amalpehT
RAsaMI,Rasami
uampU,Aamu
RASAMLA,Rasamla
aninayriB,aninayriB
uinayriB,uinayriB
idhcihK,idhcihK
ayhsoJ,ayhsoJ
Gulabum,Gulabu
CURDU,Curdu
TamARinD,Tamarind
asoaluP,asoaluP
Curdo,Curdo
KICHDIE,Kichdi
khichdisa,Kichdisa
PAtTaGuYRaKA,Pattaguyraka
samosaka,Samosaka
ChUtneYu,Chutneyu
Rom,Ram
asildI,Lassii
oizbaS,oizbaS
Rigoka,Purika
apaeka,Pavka
pOORijI,Puriji
oofoau,oofoau
Roganraa,Roganra
rotiji,Rotiji
ohoaoa,Momo
Payasay,Payasaya
POoRII,Puri
udniramaT,udniramaT
Puiiea,Puiiea
ravara,Ravara
KOFTAA,Kofta
DhokLAo,Dhokla
oasomaS,Dosama
Puliyogaren,Puliyogarena
Kesarinaa,Kesarina
Bhajikaa,Bhajika
arihtapahC,arihtapahC
Cholen,Chole
BISIBELENA,Bisibelena
Pattaguyraaa,Pattaguyra
HALWA,Halwa
Upman,Upmana
Bandegaijia,Bandegaiji
pakoda,Pakoda
Momoom,Momou
curdna,Curdna
Gulaemi,Gulabi
Masalag,Masalaga
Jaiubiea,Pavi
Gula,Gulab
bhAjiE,Bhaji
PAYASAo,Payasa
ramya,Ramya
akahtaraP,akahtaraP
ROTIA,Roti
Pulaoyan,Pulaoya
Tamarindlaa,Tamarindla
Rogans,Rogansa
KicHdIe,Kichdi
Kesari,Kesari
Bhaturekaa,Bhatureka
auneeruo,Ragiu
Pakodaua,Pakoda
Dalr,Dalra
Biryaniran,Biryanira
Upmal,Upmala
Sabzi,Sabzi
Dhoklagam,Dhoklaga
sabzima,Sabzima
kichdiu,Kichdi
Poorij,Puriji
pesaRaTTuO,Pesarattu
Chutneysan,Chutneysa
aihtapahC,aihtapahC
ayitoR,Raitao
rasamma,Rasama
kheerna,kheerna
chapathiga,chapathiga
Maaalau,Dala
kachorii,Kachori
Biryanik,Biryanika
Dosajia,Dosaji
Ram,Ram
Kuuooi,Kuuooi
agelebisiB,agelebisiB
JALEBIE,Jalebi
Rasamon,Rasamo
Momora,Momora
PAKODAJI,Pakodaji
RagIka,Ragika
ChOLeya,Choleya
gulabi,Gulabi
DHOKLAO,Dhokla
Pulao,Pulao
iagednaB,iagednaB
Thepla,Thepla
bIRYaNiga,Biryaniga
Curdin,Curdi
samosao,Samosa
Pesarattujia,Pesarattuji
CURDo,Curdo
Gulabua,Gulabu
uagiuo,Puri
Gulab,Gulab
Curdran,Curdra
SABZIRA,Sabzira
oaaiaka,Dosa
iauuula,Dal
Dosas,Dosasa
parathama,Parathama
vadana,Vadana
SABZIE,Sabzi
Pesarattu,Pesarattu
Koftan,Koftana
uiraseK,uiraseK
POORIMA,Purima
masalai,Masala
Halwar,Halwara
uumku,Aamu
Khichd,Khichd
oeoeaaa,oeoeaaa
Idli,Idli
Bhatureg,Bhature
oavai,Pav
Upma,Upma
moMoE,Momo
ayahtaraP,ayahtaraP
Sabzij,Dosaji
RAVAMA,Ravama
Pavjin,Pavji
ROTIMA,Rotima
POORI,Puri
ieeuu,ieeuu
Ragil,Ragila
aadaV,Vadau
kesariga,Kesariga
CHOLELA,Cholela
paneerka,paneerka
Pavr,Pavra
Daly,Dalya
PArathAna,Parathana
idlima,Idlima
CHUTNEYMA,Chutneyma
kichdiu,Kichdi
pattaguyraji,Pattaguyraji
Raiiaaa,Ram
ROTIA,Roti
Rama,Rama
ohooloe,Pulao
Rasamman,Rasamna
mudda,Mudda
CURDA,Curda
BANDEGAISA,Bandegaisa
ayadaV,Payasa
PeSARATTUo,Pesarattu
iadaV,Pav
rAMo,Ramo
GULABA,Gulaba
masala,Masala
Payasa,Payasa
oeiai,oeiai
cHApatHio,cHApatHio
KAcHOrISa,Kachorisa
aybaluG,aybaluG
aralkohD,aralkohD
Jalebiram,Jalebira
bandegaisa,Bandegaisa
Sabzikam,Sabzikam
aidhciK,Vadai
Idligan,Idliga
PANEERA,Ragira
sambara,Sambara
TAMARINDO,Tamarindo
agiagednaB,agiagednaB
ayoaluP,ayoaluP
ROTII,Roti
Sabzi,Sabzi
atiaR,Ragi
Taoariuemi,Taoariuemi
rasamu,Rasamu
Chapathis,Chapathis
Paitaouooalu,Raitau
Dal,Dal
KOFTAMA,Koftama
samoSaa,Samosa
jOSHRA,Joshra
Kiuidee,Idli
Pesarattuyam,Pesarattuya
Parathay,Paratha
halwaga,Halwaga
akirooP,akirooP
Sabz,Dosa
purika,Purika
JOSHJI,Joshji
cholela,Cholela
Purikan,Purika
pOOrIO,Puri
armasaR,armasaR
Pulaoia,Pulao
asiraseK,asiraseK
alibelaJ,alibelaJ
Pusarattiro,Pusarattiro
akasayaP,Payasaya
aarueoai,Ram
amirooP,amirooP
agitoR,Ragio
Ragikan,Ragika
pesarattuo,Pesarattu
Tamarindraa,Tamarindra
kichdiji,Kichdiji
samBaRYa,Sambarya
IDLIJI,Idliji
MOmoma,Momoma
Khueuya,Khueuya
Rogan,Rogan
biryania,Biryani
Puliyogarelan,Puliyogarela
Sambar,Sambar
PURIRA,Purira
bhajika,Bhajika
momoma,Momoma
BANDEGAIMA,Bandegaima
RAm,Ram
dhoklasa,Dhoklasa
Rotii,Roti
arirohcaK,arirohcaK
POoRI,Puri
cHOleKA,Choleka
Tamarindl,Tamarindla
Pattaguyra,Pattaguyra
samosaga,Samosaga
ayaryugattaP,ayaryugattaP
PESARATTUE,Pesarattu
pakodaji,Pakodaji
pUrira,Purira
muddaga,Muddaga
alavaR,Ravara
Pooraaa,Puri
BISIBELE,Bisibele
idliO,Idli
bhajie,Bhaji
Sabzigam,Sabzigam
Kesariu,Kesari
thepla,Thepla
uPmaKa,Upmaka
DAL,Dal
masalaji,Masalaji
ram,Ram
PuriJI,Puriji
Ragiun,Ragina
Chapathi,Chapathi
agasoD,agasoD
amidhcihK,amidhcihK
Paneern,Paneern
eassiua,eassiua
uayisao,Purisa
Bhatureran,Bhaturera
Idlik,Idlika
Gulabl,Gulabla
PANEER,Upmai
asizbaS,asizbaS
iirooP,iirooP
sabzie,Sabzi
halwaNA,Halwana
CURDU,Curdu
Pesaratturaa,Pesarattura
pakodaji,Pakodaji
alasomaS,alasomaS
rotila,Rotila
MOMOYA,Momoya
Sabzig,Dosaji
khichdika,Kichdika
anadaV,anadaV
KESARIGA,Kesariga
Idlir,Idlira
Kocodio,Kocodio
Dalin,Dali
RoTIGA,Rotiga
RAITALA,Raitala
eeiuoa,eeiuoa
Kecoirika,Kecoirika
RASamO,Rasamo
pakodaa,Pakoda
akibelaJ,akibelaJ
Pavs,Pavsa
masalai,Masala
DALSA,Dalsa
dhoklasa,Dhoklasa
Choleoa,Chole
puriu,Puri
PESaraTtUrA,Pesarattura
payasala,Payasala
ahuooeiga,Aamga
Upmal,Upmala
POORIA,Puri
dosa,Dosa
Pakoda,Pakoda
Purijin,Puriji
paneerla,paneerla
aamiara,Aamra
aAME,Aame
amasayaP,Samosaya
Chole,Chole
outtaraseP,outtaraseP
akmasaR,akmasaR
kesarila,Kesarila
Puliyogare,Puliyogare
ayinayriB,ayinayriB
PakODA,Pakoda
akirohcaK,akirohcaK
Pakodaom,Pakodama
ijelebisiB,ijelebisiB
oouaoio,oouaoio
Ragikan,Ragika
Roti,Roti
pAkOdagA,Pakodaga
druC,druC
KheErnA,KheErnA
Kichdim,Kichdi
LASSINA,Lassina
Taiareadoo,Taiareadoo
CHAPATHIMA,CHAPATHIMA
joshji,Joshji
KESARIGA,Kesariga
ijahB,ijahB
eatuageoaai,eatuageoaai
raitaga,Raitaga
jalebia,Jalebi
asidhcihK,asidhcihK
iasayaP,Dosaya
CHOLENA,Cholena
ChuTnEyYA,Chutneya
oameueu,Aame
agijahB,agijahB
ROGANU,Roganu
RAITAA,Raita
chapathia,chapathia
bhajiji,Bhajiji
chapathia,chapathia
Ragikan,Ragika
pavka,Pavka
Puliyogaren,Puliyogarena
ayrabmaS,ayrabmaS
Rasamia,Rasami
cUrdna,Curdna
cHuTNEyga,Chutneyga
Bhatureom,Bhature
uiruP,Puriu
Halwam,Halwama
Kichdin,Kichdi
CUrdMA,Curdma
eoorina,Purina
Tamarindaa,Tamarinda
dalka,Dalka
aymaR,Aamra
ayihtapahC,ayihtapahC
upma,Upma
Parathanaa,Parathana
Dals,Dalsa
upmao,Upma
theplama,Theplama
Rotigan,Rotiga
eerutahB,eerutahB
aasimia,Aami
Bhatureoa,Bhature
Chutneyg,Chutney
Paaea,Pav
emaR,Rama
akelohC,akelohC
sabziya,Sabziya
Kachori,Kachori
rAMa,Rama
eijahB,eijahB
ayidhcihK,ayidhcihK
Dosain,Dosana
Pattaguyrasam,Pattaguyrasa
uibelaJ,uibelaJ
oocidusi,oocidusi
Purir,Purira
chutney,Chutney
Saooia,Dal
bhajima,Bhajima
Ragijia,Ragiji
ijuttaraseP,ijuttaraseP
Halwas,Halwasa
gulab,Gulab
alidhciK,alidhciK
Pattaguyrakam,Pattaguyraka
Momomaa,Momoma
DAlJi,Dalji
Chutneygam,Chutneyga
CHAPATHIJI,CHAPATHIJI
Toepuasa,Toepuasa
vadaka,Vadaka
Rogan,Rogan
eheeoii,eheeoii
erabmaS,erabmaS
KHEERJI,KHEERJI
pav,Pav
uooooui,uooooui
eiraseK,eiraseK
IDLIMA,Idlima
Vadas,Vadasa
Jalebi,Jalebi
Thepla,Thepla
iieibelera,iieibelera
Biryaniim,Biryanima
asalkohD,asalkohD
roganji,Roganji
alaryugattaP,alaryugattaP
PAVO,Pavo
mASAlaji,Masalaji
halwama,Halwama
CHaPAThi,CHaPAThi
KICHDI,Kichdi
Iieili,Idli
BiSIbEleU,Bisibele
ROGANU,Roganu
Bhaturey,Bhature
tHeplAla,Theplala
iizbaS,iizbaS
ROTILA,Rotila
arasoD,arasoD
Rotiom,Rotima
Masalagan,Masalaga
Perotheka,Perotheka
THEPLAE,Thepla
Poori,Puri
anampU,Rasamu
RAva,Rava
Sabzigaa,Sabziga
HALWAU,Halwa
Keutooa,Keutooa
koftaga,Koftaga
dhokLaGa,Dhoklaga
ravAI,Rava
aerutahB,aerutahB
kesari,Kesari
Pauasaji,Rasami
Rotis,Rotisa
KESARINA,Kesarina
Muddam,Mudda
Koeeouo,Koeeouo
LASSILA,Lassila
aluttaraseP,aluttaraseP
Rotinam,Rotina
eueueaoi,eueueaoi
Ravaem,Ravama
iahtaraP,Raitara
Koftayam,Koftaya
akbaluG,akbaluG
adlala,Dalla
khichdila,Kichdila
Dioou,Dioou
Pattaguyraj,Pattaguyra
Theplayan,Theplaya
Aam,Aam
biryanii,Biryani
Raitaem,Rasam
udruC,Curdu
Ram,Ram
ROTINA,Rotina
ragiji,Ragiji
kesarii,Kesari
Aamgan,Rogan
alasayaP,Payasaya
momoji,Momoji
Jiuubiia,Jiuubiia
MuddAkA,Muddaka
Choleon,Chole
Biryanium,Biryanima
BHATUREJI,Bhatureji
Momonaa,Momona
ravaLa,Ravala
Miuiaia,Ram
arirooP,arirooP
eeouratiasu,eeouratiasu
Pattaguyra,Pattaguyra
ainaar,Rama
POORIGA,Puriga
RAVAI,Rava
Tamarindl,Tamarindla
Kicauiei,Kicauiei
oahtaraP,Koftara
Bisibelekan,Bisibeleka
masala,Masala
khichdie,Kichdi
Mudday,Mudda
MASALALA,Masalala
Thiauuna,Rotia
chapathila,chapathila
kichdiga,Kichdiga
dalka,Dalka
purika,Purika
Kesariyaa,Kesariya
PULAOE,Pulao
CHOLE,Chole
Bandegaiam,Bandegai
Koftamam,Koftama
kesarika,Kesarika
ragiu,Ragi
IDLIRA,Idlira
khichdiu,Kichdi
alvaP,Ravao
chOLEe,Dali
Sabziy,Dosaji
agasayaP,Payasaya
Theuoou,Theuoou
asildI,Lassii
ayiraseK,ayiraseK
autteuuyaoae,Aamya
Poorin,Purina
idlima,Idlima
Khichdilaa,Kichdila
PuriYa,Puriya
joshya,Joshya
Upmagam,Upmaga
muDDAi,Mudda
Rotiaa,Roti
anidhciK,anidhciK
Pulao,Pulao
Kaihoreia,Kaihoreia
pAneErE,pAneErE
aahtaraP,Raitara
ramka,Ramka
Muddau,Mudda
agasoD,agasoD
pooriji,Puriji
kesariga,Kesariga
eoeena,Ram
PanEeRe,PanEeRe
rotisa,Rotisa
PURIGA,Puriga
bhAtUrEa,Bhature
Koftan,Koftana
Dhoklag,Dhokla
paneerka,paneerka
ThepLAe,Thepla
arasoD,arasoD
JalebIjI,Jalebiji
Aamj,Rami
ROTiKA,Rotika
Kouhdii,Joshi
ROGANU,Roganu
Rotia,Roti
PUliYOGARE,Puliyogare
anmaA,Aama
ealoama,Momoa
Kesari,Kesari
ROTiKa,Rotika
Sabziom,Dosaji
Jaiuoeo,Ram
Dosaman,Dosama
ehoaaohai,Josha
Masalanan,Masalana
Bisibeleoa,Bisibele
MUDDAI,Mudda
PULIYOGAREJI,Puliyogareji
Parathak,Paratha
oovauo,Pav
Kheerlaa,Kheerlaa
agiraseK,agiraseK
RAVA,Rava
Samosas,Samosasa
lassie,Lassi
aliagednaB,aliagednaB
Khichdiran,Kichdira
PeSArAttUGa,Pesarattuga
ROTIJI,Rotiji
ramma,Rama
Biruauaie,Biruauaie
Payasa,Payasa
eavaR,Rava
Payasa,Payasa
Chutneyy,Chutney
roTIna,Rotina
iiida,Vada
UPMARA,Upmara
kichdila,Kichdila
idlina,Idlina
alvaP,Ravao
Guaouke,Guaouke
kichdiu,Kichdi
Reeima,Rama
Ragima,Ragima
Jalebiaa,Jalebi
ravaga,Ravaga
asaryugattaP,asaryugattaP
Koftag,Koftaga
paneera,Ragira
rasamsa,Rasamsa
Halwaem,Halwama
Momol,Momola
masalasa,Masalasa
IDLIU,Idli
TAMARINDMA,Tamarindma
Rava,Rava
CURDE,Curde
Sabzi,Sabzi
IDLIJI,Idliji
pavi,Pavi
PAVRA,Pavra
agatfoK,agatfoK
Biryaniim,Biryanima
asidhcihK,asidhcihK
PANEERE,PANEERE
KICHDIMA,Kichdima
kachorila,Kachorila
alibelaJ,alibelaJ
RoTiLA,Rotila
DhoKLaJi,Dhoklaji
parathaka,Parathaka
BanDEgaINA,Bandegaina
Joshg,Josh
Rasamjim,Rasamji
agerutahB,agerutahB
Ra,Ram
ramra,Ramra
biryanima,Biryanima
Tamarindn,Tamarindna
ijijahB,ijijahB
oawlaH,oawlaH
urabmaS,Gulabma
Bhature,Bhature
KACHORI,Kachori
PAKODAU,Pakoda
euttaraseP,euttaraseP
uatfoK,uatfoK
pARathARA,Parathara
PAKODAO,Pakoda
DOSAI,Dosa
raitana,Raitana
aralpehT,aralpehT
HALWAMA,Halwama
Upmae,Upma
MUDdA,Mudda
Paneerl,Paneerl
ravana,Ravana
Dal,Dal
oaiarinela,Poorina
Koftajo,Koftaji
THEPLARA,Theplara
Halwak,Halwaka
imaR,Upma
rotika,Rotika
eaeauama,Ram
chapathika,chapathika
Kichdimam,Kichdima
iDliGA,Idliga
pulIYOgaReGA,Puliyogarega
PattaGuYRAKA,Pattaguyraka
kHichDiu,Kichdi
ijidhcihK,ijidhcihK
tamarindsa,Tamarindsa
raSAmga,Rasamga
ahuuneuo,ahuuneuo
Pavm,Pavma
Pattaguyraom,Pattaguyra
Luesika,Purika
CuRdYa,Curdya
Curd,Curd
CHOLEGA,Cholega
kesarina,Kesarina
dhoklao,Dhokla
anomoM,Momoma
Boodeiaiei,Curde
anitoR,Raitao
Aamia,Aami
paneerka,paneerka
Pakodanam,Pakodana
RASAMSA,Rasamsa
aghsoJ,Ragio
KACHORIU,Kachori
TAMARINDO,Tamarindo
ueoaaoma,Upma
bHaturEya,Bhatureya
Theplaum,Thepla
Khichdig,Kichdi
TAMARINDA,Tamarinda
raSam,Rasam
iissaL,Dal
pav,Pav
paneersa,paneersa
MasALAE,Masala
uuihiu,Puri
euoiooua,euoiooua
Kaehoraea,Kaehoraea
alihtapahC,alihtapahC
khichdiga,Kichdiga
pavi,Pavi
oeama,Upma
Pev,Pav
sambarsa,Sambarsa
Jiaebija,Jiaebija
MASALAU,Masala
Peaeuettuee,Peaeuettuee
Lassi,Lassi
aame,Aame
Dhoklaea,Dhokla
JALeBiNA,Jalebina
AaMjI,Aamji
Koftayam,Koftaya
gulabna,Gulabna
akvaP,Ravao
DOSAyA,Dosaya
KachoRIsa,Kachorisa
Kuahuoioe,Kuahuoioe
PAKODAO,Pakoda
ualkohD,ualkohD
agiruP,Ragira
pulaora,Pulaora
PESARATTUNA,Pesarattuna
Bhajiman,Bhajima
Puri,Puri
Puri,Puri
kachoriji,Kachoriji
AAMLA,Aamla
chOLEyA,Choleya
uumeriidea,uumeriidea
Bhajiam,Bhaji
Poor,Puri
puliyogarea,Puliyogare
alalkohD,alalkohD
JOsHMA,Joshma
ehsoJ,ehsoJ
Pav,Pav
DHOKLANA,Dhoklana
Kachoriy,Kachori
eoftoae,eoftoae
rAITAma,Raitama
iam,Ram
SambaRKA,Sambarka
poorina,Purina
aoohra,Aamra
iaouuuka,Ram
PesArattUgA,Pesarattuga
PAYASARA,Payasara
Ramia,Rami
uigaR,Puri
KhIChdIYa,Kichdiya
Roeiyo,Momo
Rasam,Rasam
pesarattuna,Pesarattuna
rasamsa,Rasamsa
dhOKlana,Dhoklana
Chutneygaa,Chutneyga
Chuioteio,Chuioteio
ROtIYA,Rotiya
MoMoE,Momo
almasaR,Halwasa
agidhciK,agidhciK
Muddakan,Muddaka
Parathan,Paratha
pakodae,Pakoda
Paneerman,Paneerman
agibelaJ,agibelaJ
